Country Name,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Haiti,..,..,..,..,1.073989987,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.02451992,3.1572299
Heavily indebted poor countries (HIPC),..,..,..,..,..,..,..,..,..,..,..,..,2.819469929,2.593400002,2.70720005,2.636595011,..,3.02925992,3.023475051,..,..,2.759285092,3.232720017,3.502229929,3.282244921,3.209389925,3.390985012,3.856209993,3.735795021
High income,4.577129841,4.509140015,..,..,4.785869837,..,5.180719852,4.953065157,4.764920235,4.748290062,..,4.501219988,4.567140102,4.672405005,4.931009769,4.805900097,4.804669857,4.869240046,4.891744852,4.78537488,4.67413497,4.851264954,5.074319839,5.312739849,4.969860077,4.840404987,4.965610027,5.051229954,5.005050182
Honduras,..,..,..,..,..,..,..,2.512639999,2.617449999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.874929905,7.090119839,6.412970066
"Hong Kong SAR, China",..,..,..,2.466089964,..,2.828200102,..,..,..,2.728310108,..,..,..,..,3.903700113,4.015540123,4.285299778,4.558959961,4.134630203,3.842789888,3.454550028,3.260629892,4.392129898,3.510030031,3.418220043,3.509609938,3.760319948,3.572550058,3.262120008
Hungary,..,..,..,..,5.879399776,6.079569817,5.919589996,5.834889889,4.847489834,4.334750175,..,4.408649921,4.56704998,4.868400097,4.931009769,5.179230213,5.791150093,5.335859776,5.330920219,5.296080112,5.143050194,4.973589897,4.958040237,4.761209965,4.590109825,4.163859844,4.197730064,4.61743021,4.518660069
IBRD only,..,..,..,..,..,..,..,..,..,3.499609947,..,..,4.216274977,3.901460052,3.771124959,3.785075068,3.864379883,3.698850036,3.899299979,3.903460026,3.824904919,4.162065029,4.483980179,4.242040157,4.150109768,3.867500067,4.099110126,..,..
Iceland,..,..,..,4.252240181,..,..,5.133860111,4.748439789,4.773439884,5.209859848,..,6.791530132,6.441500187,6.447169781,6.730020046,7.31757021,7.254779816,7.156290054,7.356090069,7.299240112,6.98871994,7.10258007,7.184249878,6.978479862,6.818230152,7.596360207,7.491219997,7.688580036,7.512909889
IDA & IBRD total,..,..,..,..,..,..,..,..,..,..,..,..,3.764919996,3.430170059,3.503420115,3.386080027,3.458904982,3.348845005,3.512130022,3.669059992,3.60984993,3.926270008,4.253469944,3.882390022,3.819399953,3.690005064,3.801490068,4.068289995,4.127710104
IDA blend,..,..,4.342339993,..,..,4.413450003,..,6.148569822,..,..,..,..,..,..,..,..,..,2.650884986,2.468445063,..,..,..,..,4.250940084,..,5.509039879,5.539264917,5.280210018,4.916404963
